state_name,geoid
Wisconsin,55
Mississippi,28
Oklahoma,40
Wyoming,56
Minnesota,27
Illinois,17
Georgia,13
Arkansas,05
New Mexico,35
Indiana,18
Maryland,24
Louisiana,22
Idaho,16
Tennessee,47
Arizona,04
Iowa,19
Michigan,26
Kansas,20
Utah,49
Virginia,51
Oregon,41
Connecticut,09
District of Columbia,11
New Hampshire,33
Texas,48
West Virginia,54
South Carolina,45
California,06
Commonwealth of the Northern Mariana Islands,69
Massachusetts,25
Vermont,50
Delaware,10
North Dakota,38
Pennsylvania,42
Puerto Rico,72
Florida,12
Hawaii,15
Kentucky,21
Alaska,02
United States Virgin Islands,78
Nebraska,31
Missouri,29
Ohio,39
Alabama,01
Rhode Island,44
American Samoa,60
South Dakota,46
Colorado,08
New Jersey,34
Guam,66
Washington,53
North Carolina,37
New York,36
Montana,30
Nevada,32
Maine,23
